user_id,artist_id
US85,AR378
US321,AR343
US369,AR218
US219,AR417
US105,AR240
US448,AR453
US83,AR422
US31,AR17
US77,AR298
US427,AR364
US460,AR241
US48,AR262
US416,AR318
US466,AR307
US231,AR75
US120,AR254
US166,AR188
US285,AR25
US228,AR275
US143,AR400
US322,AR224
US203,AR430
US447,AR252
US421,AR158
US159,AR474
US177,AR414
US334,AR81
US350,AR122
US425,AR133
US186,AR111
US240,AR457
US199,AR225
US76,AR398
US214,AR2
US434,AR320
US320,AR33
US468,AR458
US72,AR35
US213,AR40
US445,AR384
US481,AR203
US61,AR286
US182,AR463
US126,AR479
US283,AR327
US196,AR391
US429,AR125
US493,AR352
US393,AR376
US410,AR362
US173,AR386
US225,AR318
US293,AR293
US130,AR111
US407,AR58
US109,AR38
US124,AR402
US491,AR293
US55,AR260
US382,AR9
US386,AR347
US498,AR43
US390,AR8
US271,AR273
US60,AR160
US297,AR217
US194,AR484
US30,AR158
US152,AR178
US216,AR125
US279,AR487
US462,AR122
US496,AR496
US149,AR248
US85,AR198
US98,AR201
US206,AR156
US108,AR347
US128,AR458
US160,AR123
US256,AR88
US199,AR56
US193,AR273
US296,AR166
US369,AR483
US85,AR492
US264,AR312
US89,AR331
US455,AR292
US117,AR241
US131,AR443
US138,AR252
US203,AR451
US366,AR54
US378,AR65
US31,AR418
US30,AR48
US219,AR273
US97,AR456
US367,AR210
US312,AR417
US153,AR496
US441,AR33
US45,AR118
US157,AR435
US78,AR429
US179,AR219
US442,AR215
US82,AR50
US162,AR427
US215,AR82
US409,AR337
US54,AR39
US150,AR222
US423,AR185
US114,AR356
US33,AR233
US77,AR42
US400,AR489
US192,AR450
US420,AR359
US487,AR476
US192,AR42
US279,AR6
US153,AR451
US232,AR435
US441,AR10
US308,AR463
US115,AR353
US432,AR332
US109,AR97
US345,AR498
US36,AR399
US190,AR205
US144,AR293
US263,AR431
US381,AR397
US499,AR140
US299,AR20
US320,AR169
US15,AR451
US167,AR341
US245,AR166
US238,AR10
US221,AR288
US75,AR363
US309,AR388
US383,AR369
US147,AR201
US442,AR206
US24,AR86
US362,AR401
US143,AR277
US316,AR246
US399,AR464
US77,AR197
US392,AR297
US78,AR251
US374,AR193
US380,AR451
